Family;Genus;Species;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monioring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Arecaceae;Attalea;Attalea butyracea;Drupe;60;50;13;2;35;25;;;20;;Yes;;;9° 06' N;79° 40' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Active search;116 dias;;;;;;2007;"Gálvez; Jansen, 2007";"Gálvez, D.; Jansen, P.A. 2007. Bruchid beetle infestation and the value of Attalea butyracea endocarps for neotropical rodents. Journal of Tropical Ecology 23(3), pp. 381-384."
Arecaceae;Attalea;Attalea butyracea;Drupe;60;50;13;2;35;25;;;20;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant / Animals;;;;;;;;2015;Garzon-Lopes et al., 2016;"Garzon-Lopez, Carol X.; Ballesteros-Mejia, Liliana; Ordonez, Alejandro; Bohlman, Stephanie A.; Olff, Han; Jansen, Patrick A. 2015 Indirect Interactions Among Tropical Tree Species Through Shared Rodent Seed Predators: A Novel Mechanism of Tree Species Coexistence Ecology Letters"
Arecaceae;Attalea;Attalea butyracea;Drupe;60;50;;2;35;25;;;20;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Flagged line;;x;x;x;x;;2014;Jansen et al., 2014;"Jansen, P.A.;  Visser, M.D.; Wright, S.J.; Rutten, G.;  Muller?Landau, H.C. 2014. Negative density dependence of seed dispersal and seedling recruitment in a Neotropical palm. Ecology Letters 17(9), pp. 1111-1120."
Arecaceae;Attalea;Attalea butyracea;Drupe;60;50;;2;35;25;;;20;;Yes;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Hunt;;;x;x;;;;2000;Wright et al., 2000;"Wright, S.J.; Zeballos, H.; Domínguez, I.; Gallardo, M.M.; Moreno, M.C.; Ibáñez, R. 2000. Poachers alter mammal abundance, seed dispersal, and seed predation in a Neotropical Forest. Conservation Biology 14(1), pp. 227-239."
Arecaceae;Attalea;Attalea butyracea;Drupe;60;50;;2;35;25;;;20;;Yes;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Hunt/Plant;;;x;x;;x;;2001;"Wright; Duber, 2001";"Wright, S.J.; Duber, H.C. 2001. Poachers and forest fragmentation alter seed dispersal, seed survival, and seedling recruitment in the palm Attalea butyraceae, with implications for tropical tree diversity. Biotropica 33(4), pp. 583-595."
Chrysobalanaceae;Licania;Licania kunthiana;;31,6;21,4;;;12;10;;0,88;40;50;;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Arecaceae;Astrocaryum;Astrocaryum malybo;;;;;;;;;;5;;;;;8° 25' N;76° 03' W;;Colombia;Dasyprocta punctata;Plant / Animals;Camera traps;;;;;;;2018;Acevedo-Quintero et al. 2018;Acevedo-Quintero, J. F., Zamora-Abrego, J. G., & Ortega-León, Á. M. (2018). The prickles of Astrocaryum malybo as a structural defense to avoid seed predation. Food Webs, 16, e00088
Arecaceae;Astrocaryum;Astrocaryum gratum;;53;35;;1;;;;;15;;;;;13° 20' S;68° 10' W;Humid Tropical Forest e semidecídua de vários estágios sucessionais;Bolivia;Dasyprocta punctata;Plant;Exclosure;;x;x;;;;2015;Aliaga et al., 2015;"Aliaga-Rossel, Enzo; Fragoso, Jose Manuel 2015 Defaunation Affects Astrocaryum Gratum (arecales: Arecaceae) Seed Survivorship in A Sub-montane Tropical Forest Revista De Biologia Tropical"
Arecaceae;Aphandra;Aphandra natalia;;47,5;32;;;50;35;;;14;;;;;3° 45' S;76° 25' W;Amazon;Peru;Dasyprocta fuliginosa;;;;;;;;;2005;Boll et al. (2005);Boll, T., Svenning, J. C., Vormisto, J., Normand, S., Grández, C., & Balslev, H. (2005). Spatial distribution and environmental preferences of the piassaba palm Aphandra natalia (Arecaceae) along the Pastaza and Urituyacu rivers in Peru. Forest Ecology and Management, 213(1-3), 175-183.
Arecaceae;Attalea;Attalea rostrata;;;;;;;;;;1,5;48;;;;;;;Costa Rica;Dasyprocta punctata;;;;x;x;;;;1994;Bradford & Smith 1997;Bradford, D. F., & Smith, C. C. (1977). Seed predation and seed number in Scheelea palm fruits. Ecology, 58(3), 667-673.
Caryocaraceae;Caryocar;Caryocar coriaceum;Drupe;;;;;;;;;20;200;;6,3;15;07° 11' S;39° 36' W;Cerrado;Brazil;Dasyprocta prymnolopha;Plant;Flagged line;;x;x;x;;;2016;Charll dos Santos et al., 2016;Charll dos Santos, G., Schiel, N., de Lima Araújo, E., & Paulino Albuquerque, U. (2016). Caryocar coriaceum (Caryocaraceae) diaspore removal and dispersal distance on the margin and in the interior of a Cerrado area in Northeastern Brazil. Revista de biologia tropical, 64(3), 1117-1128.
Sapindaceae;Billia;Billia rosea;;;;;;60;;;0,69;;;;;;10° 18' N;84° 48' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Other animals;;;;;;;;2009;Chinchilla, 2009;Chinchilla, F.A. 2009. Seed predation by mammals in forest fragments in Monteverde, Costa Rica. Revista de Biologia Tropical 57(3), pp. 865-877.
Lauraceae;Ocotea;Ocotea valerioana;;;;;;65;;;;22;;;;;10° 18' N;84° 48' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Other animals;Visual observation;;;;;;;2009;Chinchilla, 2009;Chinchilla, F.A. 2009. Seed predation by mammals in forest fragments in Monteverde, Costa Rica. Revista de Biologia Tropical 57(3), pp. 865-877.
Proteaceae;Panopsis;Panopsis costaricensis;;;;;;50;;;0,51;25;;;;;10° 18' N;84° 48' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Outros animais;Visual observation;;;;;;;2009;Chinchilla, 2009;Chinchilla, F.A. 2009. Seed predation by mammals in forest fragments in Monteverde, Costa Rica. Revista de Biologia Tropical 57(3), pp. 865-877.
Arecaceae;Attalea;Attalea speciosa;;95,5;95;68;;85;47,5;;0,427;20;;Yes;;;18° 59' S;56° 39' W;Pantanal;Brazil;Dasyprocta azarae;Agouti;;;;;;;;2013;Cid et al., 2013;"Cid, Bruno; Oliveira-Santos, Luiz Gustavo R.; Mourao, Guilherme 2013 Seasonal Habitat Use of Agoutis (dasyprocta Azarae) Is Driven by the Palm Attalea Phalerata in Brazilian Pantanal Biotropica"
Myrtaceae;Myrcia;Myrcia spectabilis;;13;14,7;;;;11,4;;0,7;10;;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Myrtaceae;Myrciaria;Myrciaria sp.;;;;;;;;;;;;;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Arecaceae;Phytelephas;Phytelephas seemannii;;80;140;;;;;;;4;30;Yes;;;;;;Panama;Dasyprocta punctata;Plant;;;;;;;;1996;Dalling et al. (1996);Dalling, J. W., Harms, K. E., Eberhard, J. R., & Candanedo, I. (1996). Natural history and uses of tagua (Phytelephas seemannii) in Panamá. Principes, 40, 16-23
Arecaceae;Attalea;Attalea microcarpa;;37,5;25;;;;;;;0;;;;;02° 50' S;59° 59' W;Amazon;Brazil;Dasyprocta leporina;;;;;;;;;2012;de Freitas et al., 2012;"de Freitas, Cintia Gomes; Capellotto Costa, Flavia Regina; Svenning, Jens-Christian; Balslev, Henrik 2012 Topographic Separation of Two Sympatric Palms in the Central Amazon - Does Dispersal Play A Role? Acta Oecologica-International Journal of Ecology"
Arecaceae;Astrocaryum;Astrocaryum aculeatum;;35;18;;;30;15;;;15;12;;;;02° 50' S;59° 59' W;Amazon;Brazil;Dasyprocta leporina;;;;;;;;;2011;Ferreira (2011);Ferreira, A. P. P. (2011). Composição da comunidade de palmeiras (arecaceae) e remoção de frutos de Attalea attaleoides (BARB. RODR.) WESS. BOER E Astrocaryum gynacanthum MART. em uma floresta de terra-firme na amazônia central.
Arecaceae;Attalea;Attalea rostrata;;;;;;;;;;1,5;48;;4;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Flagged line;;x;x;x;;;1994;Forget et al., 1994 ;"Forget, P.-M.; Munoz, E.; Leigh Jr, E.G. 1994. Predation by rodents and bruchid beetles on seeds of Scheelea palms on Barro Colorado Island, Panama. Biotropica 26(4), pp. 420-426."
Arecaceae;Attalea;Attalea rostrata;;;;;;;;;;1,5;48;;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Bite marks on seeds /Visual observation / Line;6 meses;;;;;x;1993;Forget, 1993;Forget, P.-M. 1993. Post-dispersal predation and scatterhoarding of Dipteryx panamensis (Papilionaceae) seeds by rodents in Panama. Oecologia 94(2), pp. 255-261.
Fabaceae;Hymenaea;Hymenaea courbaril var. altissima (Hymenaea altissima);;;;;;;;;;;;;;;24° 16' S;48° 25' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant community;;;;;;;;2011;Galetti et al. (2011);Galetti, M., Pizo, M. A., & Morellato, L. P. C. (2011). Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest. Biota Neotropica, 11(1), 181-193.
Caryocaraceae;Caryocar;Caryocar brasiliense;Drupe;;;;;;;;0,86;;;;;;07° 11' S;39° 36' W;Cerrado;Brazil;Dasyprocta prymnolopha;Plant;;;x;x;;;;1986;Gribel, 1986;Gribel, R. (1986). Ecologia da polinização e da dispersão de Caryocar brasiliense Camb. (Caryocaraceae) na região do Distrito Federal (M Sc.Dissertation). Universidade de Brasília, Brasília
Fabaceae;Pentaclethra;Pentaclethra macroloba;;;;;;;;;0,6;;;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;;;6 months;x;;;;;2000;Guariguata et al., 2000;"Guariguata, M.R.; Adame, J.J.R.; Finegan, B. 2000. Seed removal and fate in two selectively logged lowland forests with constrasting protection levels. Conservation Biology 14(4), pp. 1046-1054."
Fabaceae;Geoffroea;Geoffroea spinosa;;;;;;;;;0,67;;;;;;03° 02' S;79° 14' W;Tropical dry forest;Ecuador;Dasyprocta punctata;;;;x;x;;;;2011;Jara-Guerrero et al. (2011);Jara?Guerrero, A., De la Cruz, M., & Méndez, M. (2011). Seed dispersal spectrum of woody species in south Ecuadorian dry forests: environmental correlates and the effect of considering species abundance. Biotropica, 43(6), 722-730.
Rosaceae;Prunus;Prunus subcorymbosa;;;;;;;;;;;;;;;03° 02' S;79° 14' W;Tropical dry forest;Ecuador;Dasyprocta punctata;;;;x;x;;;;2011;Jara-Guerrero et al. (2011);Jara?Guerrero, A., De la Cruz, M., & Méndez, M. (2011). Seed dispersal spectrum of woody species in south Ecuadorian dry forests: environmental correlates and the effect of considering species abundance. Biotropica, 43(6), 722-730.
Rhamnaceae;Ziziphus;Ziziphus thyrsiflora;;;;;;;;;;;;;;;03° 02' S;79° 14' W;;Ecuador;Dasyprocta punctata;;;;x;x;;;;2011;Jara-Guerrero et al. (2011);Jara?Guerrero, A., De la Cruz, M., & Méndez, M. (2011). Seed dispersal spectrum of woody species in south Ecuadorian dry forests: environmental correlates and the effect of considering species abundance. Biotropica, 43(6), 722-730.
Arecaceae;Astrocaryum;Astrocaryum murumuru;Drupe;57,5;22,5;20;1;;;;;15;;Yes;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;até 4,4 anos;;;;;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Lecythidaceae;Bertholletia;Bertholletia excelsa;Pixide;100;110;1500;20;50;21;;0,75;65;150;No;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;até 4,4 anos;;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Combretaceae;Buchenavia;Buchenavia grandis;;;;;;;;;0,75;30;;;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;até 4,4 anos;x;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Icacinaceae;Calatola;Calatola costaricensis;;;;;;;;;0,545;8;;;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;até 4,4 anos;x;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Calophyllaceae;Calophyllum;Calophyllum brasiliense;;23,6;24,7;;;20;20,6;;0,646;20;;No;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;até 4,4 anos;x;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Salicaceae;Casearia;Casearia sp. ;;5;5;;;;;;0,84;;;No;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;até 4,4 anos;x;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Moraceae;Clarisia;Clarisia racemosa;;25,1;14,95;;;16,5;12,7;;0,585;35;;No;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;frugivores/Plant;Exclosure;até 4,4 anos;x;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Ebenaceae;Diospyros;Diospyros artanthifolia;;;;;;;;;0,63;12;25;No;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;até 4,4 anos;x;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Ebenaceae;Diospyros;Diospyros subrotata;;;;;;;;;0,7;;20;No;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;até 4,4 anos;x;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Annonaceae;Duguetia;Duguetia quitarensis;;;;;;;;;0,78;15;;No;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;até 4,4 anos;x;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Olacaceae;Heisteria;Heisteria nitida;;;;;;;;;;20;45;No;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;até 4,4 anos;x;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Arecaceae;Iriartea;Iriartea deltoidea;;23,5;25;;;28;28;;;25;;;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;Other;Exclosure;até 4,4 anos;;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Malvaceae;Matisia;Matisia cordata;;80;65;;;37;23;;0,37;40;35;No;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;até 4,4 anos;x;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Nyctaginaceae;Neea;Neea sp.;;;;;;;;;0,54;;;No;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;até 4,4 anos;;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Myristicaceae;Otoba;Otoba parvifolia;;;;;;;;;0,44;30;;No;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;frugivores/Plant;Exclosure;até 4,4 anos;x;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Arecaceae;Socratea;Socratea exorrhiza;;30;17,5;;;35;20;;0,26;20;18;;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;até 4,4 anos;;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Meliaceae;Swietenia;Swietenia macrophylla;capsule;;;;;;;;0,52;60;;No;;;12° 01' S;71° 45' W;Humid Tropical Forest;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;até 4,4 anos;x;;;x;;2016;Paine et al., 2016;"Paine, C.E.T.; Beck, H.; Terborgh, J. 2016. How mammalian predation contributes to tropical tree community structure. Ecology 97(12), pp. 3326-3336."
Arecaceae;Astrocaryum;Astrocaryum chambira;;70;47,5;;;;;;;30;;;8,6;;0° 49' S;70° 13' W;Humid Tropical Forest;Colombia;Dasyprocta fuliginosa;;Flagged line;70 days;x;x;x;;;2009;Ramirez et al., 2009;"Ramirez, Beatriz H.; Parrado-Rosselli, Angela; Stevenson, Pablo 2009 Seed Dispersal of A Useful Palm (astrocaryum Chambira Burret) in Three Amazonian Forests With Different Human Intervention Colombia Forestal"
Malvaceae;Apeiba;Apeiba echinata;;;;;;;;;0,44;;;;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation/colar de radio;;;;;;x;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Moraceae;Brosimum;Brosimum sp.;;;;;;;;;;;;;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Chrysobalanaceae;;Chrysobalanaceae sp;;;;;;;;;;;;;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Fabaceae;Hymenaea;Hymenaea sp.;legume;;;;;;;;;;;Yes;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation/colar de radio;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Passifloraceae;Passiflora;Passiflora sp.;;;;;;;;;;;;;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;x;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Sapotaceae;Pouteria;Pouteria surumuensis;;;;;;40;;;0,9;30;;;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;x;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Sapotaceae;Pradosia;Pradosia surinamensis;;;;;;40;;;0,63;30;;;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;x;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Malvaceae;Matisia;Matisia bolivarii;Drupe;100;;;;;;;;40;;;;;01° 17' N;78° 15' W;Humid Premontane forest;Colombia;Dasyprocta punctata;Plant community;;;x;x;;;;2009;Vallejo & Galleano, 2009;Vallejo, M. I., & Galeano, G. (2009). cambios a corto plazo en los patrones de distribución espacial de nueve especies de plantas comunes en un bosque nublado al sur-occidente de colombia/Short-term temporal changes in the spatial patterns of nine species of common plants in an Andean cloud forest in southwestern Colombia. Caldasia, 77-98.
