Family;Genus;Species;Taxonomic.status;UpdatedFamily;Checked_Genus;Checked_Epithet;UpdatedPlantSpecies;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Wood density level;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monitoring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Arecaceae;Attalea;Attalea dubia;Accepted;Arecaceae;Attalea;dubia;Attalea dubia;;55;25;;1;45;20;26;;;25;30;Yes;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;;;;x;x;x;;;2019;Personal observation;Personal observation
Gnetaceae;Gnetum;Gnetum leyboldii;Accepted;Gnetaceae;Gnetum;leyboldii;Gnetum leyboldii;Liana;50;25;;1;45;20;12,86;;;;;Yes;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;;;;x;x;x;;;2002;Forget et al. (2002);Forget,P.M., Hammond,D.S., Milleron,T.& Thomas,R.(2002). Seasonality offruiting and food hoarding by rodents in Neotropical forests: consequences for seed dispersal and seedling recruitment. In Seed Dispersal and Frugivory: Ecology, Evolution, and Conservation (eds D. J. Levey,W.R. Silva and M. Galetti), pp. 241–256. CABI
Gnetaceae;Gnetum;Gnetum leyboldii;Accepted;Gnetaceae;Gnetum;leyboldii;Gnetum leyboldii;Liana;50;25;;1;45;20;12,86;;;30;20;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Visual observation / Line;6 meses;x;x;;;;1993;Forget, 1993;Forget, P.-M. 1993. Post-dispersal predation and scatterhoarding of Dipteryx panamensis (Papilionaceae) seeds by rodents in Panama. Oecologia 94(2), pp. 255-261.
Arecaceae;Astrocaryum;Astrocaryum aculeatum;Accepted;Arecaceae;Astrocaryum;aculeatum;Astrocaryum aculeatum;Drupe;50;50;80;1;43;43;14,9;;;20;;Yes;;;03° 05' S;59° 58' W;Amazon;Brazil;Dasyprocta leporina;Interaction;;;;;;;;2019;Fernandes et al., 2019;FERNANDES, L. S., COSTA, E. R., de Menezes MEDEIROS, A. S., SOBROZA, T. V., & GORDO, M. (2019). VERTEBRATES AS POTENTIAL DISPERSERS OF PALM TREES IN AN URBAN ENVIRONMENT. Folia Amazónica, 28(1), 113-122.
Arecaceae;Astrocaryum;Astrocaryum aculeatum;Accepted;Arecaceae;Astrocaryum;aculeatum;Astrocaryum aculeatum;Drupe;50;50;80;1;43;43;14,9;;;20;;Yes;6,4;40;02° 50' S;59° 59' W;Amazon;Brazil;Dasyprocta leporina;Rodents/fragmentação;Flagged line;;x;x (65%);x (16%);;;2009;"Jorge; Howe, 2009";"Jorge, M.L.S.P.; Howe, H.F. 2009. Can forest fragmentation disrupt a conditional mutualism? A case from central Amazon. Oecologia 161(4), pp. 709-718."
Arecaceae;Astrocaryum;Astrocaryum aculeatum;Accepted;Arecaceae;Astrocaryum;aculeatum;Astrocaryum aculeatum;Drupe;50;50;80;1;43;43;14,9;;;20;;Yes;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Arecaceae;Astrocaryum;Astrocaryum aculeatissimum;Accepted;Arecaceae;Astrocaryum;aculeatissimum;Astrocaryum aculeatissimum;Drupe;48;32;28,7;1;42,7;28,8;17,36;;;8;;Yes;5,9;;23° 15' S;44° 54' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant;Spool and line;;x;x;x;;;2009;Donatti et al., 2009;"Donatti, C.I.; Guimarães Jr., P.R.; Galetti, M. 2009. Seed dispersal and predation in the endemic Atlantic rainforest palm Astrocaryum aculeatissimum across a gradient of seed disperser abundance. Ecological Research 24(6), pp. 1187-1195."
Arecaceae;Astrocaryum;Astrocaryum aculeatissimum;Accepted;Arecaceae;Astrocaryum;aculeatissimum;Astrocaryum aculeatissimum;Drupe;48;32;28,7;1;42,7;28,8;14,4;;;8;;Yes;;;22° 26' S;42° 01' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant;Visual observation;;x;x;x;x;;2006;Galetti et al., 2006;"Galetti, M.; Donatti, C.I.; Pires, A.S.; Guimarães Jr., P.R.; Jordano, P. 2006. Seed survival and dispersal of an endemic Atlantic forest palm: The combined effects of defaunation and forest fragmentation. Botanical Journal of the Linnean Society 151(1), pp. 141-149."
Arecaceae;Astrocaryum;Astrocaryum aculeatissimum;Accepted;Arecaceae;Astrocaryum;aculeatissimum;Astrocaryum aculeatissimum;Drupe;48;32;28,7;1;42,7;28,8;14,4;;;8;;Yes;;;23° 31' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;;;;x;x;;;;2009;Genin et al., 2009;"Genini, Julieta; Galetti, Mauro; Morellato, L. Patricia C. 2009 Fruiting Phenology of Palms and Trees in An Atlantic Rainforest Land-bridge Island Flora"
Arecaceae;Astrocaryum;Astrocaryum aculeatissimum;Accepted;Arecaceae;Astrocaryum;aculeatissimum;Astrocaryum aculeatissimum;Drupe;45;32;28,7;1;42,7;28,8;14,4;;;8;;Yes;7,8;48,7;22° 27' S;42° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti/Plant;Spool and line;;x;x;x (57.8%);;;2012;"Pires; Galetti, 2012";"Pires, A.S.; Galetti, M. 2012. The agouti Dasyprocta leporina (Rodentia:Dasyproctidae) as seed disperser of the palm Astrocaryum aculeatissimum. Mastozoología Neotropical 19(1): 147–153."
Arecaceae;Astrocaryum;Astrocaryum aculeatissimum;Accepted;Arecaceae;Astrocaryum;aculeatissimum;Astrocaryum aculeatissimum;Drupe;35;32,5;28,7;1;42,7;28,8;14,4;;;8;;Yes;13,8;30;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti/Plant;Spool and line;2 meses;x;x;;x;;2015;"Zucaratto; Pires, 2015";"Zucaratto, R.; Pires, A.D. 2015. Local extinction of an important seed disperser does not modify the spatial distribution of the endemic palm Astrocaryum aculeatissimum (Schott) Burret (Arecaceae). Acta Botanica Brasilica 29(2), pp. 244-250."
Arecaceae;Astrocaryum;Astrocaryum aculeatissimum;Accepted;Arecaceae;Astrocaryum;aculeatissimum;Astrocaryum aculeatissimum;Drupe;37,5;32,5;28,7;1;42,7;28,8;11,43;;;8;;Yes;;;23° 27' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Line / Visual observation;;x;x;x>;;;2010;Galetti et al., 2010;"Galetti, M.; Donatti, C.I.; Steffler, C.; Genini, J.; Bovendorp, R.S.; Fleury, M. 2010. The role of seed mass on the caching decision by agoutis, Dasyprocta leporina (Rodentia: Agoutidae). Zoologia 27(3), pp. 472-476."
Arecaceae;Attalea;Attalea maripa;Accepted;Arecaceae;Attalea;maripa;Attalea maripa;;57;282;24,17;;40,74;18,1;5,88;;;20;;Yes;;;03° 05' S;59° 58' W;Amazon;Brazil;Dasyprocta leporina;Interaction;;;;;;;;2019;Fernandes et al., 2019;FERNANDES, L. S., COSTA, E. R., de Menezes MEDEIROS, A. S., SOBROZA, T. V., & GORDO, M. (2019). VERTEBRATES AS POTENTIAL DISPERSERS OF PALM TREES IN AN URBAN ENVIRONMENT. Folia Amazónica, 28(1), 113-122.
Arecaceae;Attalea;Attalea maripa;Accepted;Arecaceae;Attalea;maripa;Attalea maripa;;57;282;24,17;;40,74;18,1;5,88;;;20;;Yes;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Rodents/Plant;Visual observation;;x;x;;;x;2002;Silvius, 2002;Silvius, K.M. 2002. Spatio-temporal patterns of palm endocarp use by three Amazonn forest mammals: Granivory or 'grubivory'? Journal of Tropical Ecology 18(5), pp. 707-723.
Arecaceae;Attalea;Attalea maripa;Accepted;Arecaceae;Attalea;maripa;Attalea maripa;;57;282;24,17;;40,74;18,1;5,88;;;20;;Yes;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Arecaceae;Astrocaryum;Astrocaryum murumuru;Accepted;Arecaceae;Astrocaryum;murumuru;Astrocaryum murumuru;Drupe;72,5;22,5;;;40;25;7,4;;;15;;Yes;;;11° 54' S;71° 19' W;Amazon;Peru;Dasyprocta variegata;Plant;;;x;x;;;;1997;Cintra & Horna (1997);"Cintra, R.; Horna, V. 1997 Seed and Seedling Survival of the Palm Astrocaryum Murumuru and the Legume Tree Dipteryx Micrantha in Gaps in Amazonian Forest Journal of Tropical Ecology"
Clusiaceae;Tovomita;Tovomita plumieri;Accepted;Clusiaceae;Tovomita;plumieri;Tovomita plumieri;;;;;;39;15;4,9;;;;;;;;15° 25' N;61° 20' W;;Dominica;Dasyprocta leporina;Agouti;;;;;;;;2010;Taylor et al., 2014;"Taylor, B.; Ickes, K.; DeWalt, S.J. 2014. Seed removal by an introduced scatter-hoarder on a Caribbean island. Caribbean Journal of Science, 48(1):9-17."
Arecaceae;Oenocarpus;Oenocarpus bataua;Accepted;Arecaceae;Oenocarpus;bataua;Oenocarpus bataua;;35;21,3;10,9;;36;;8,9;;;26;;Yes;3,39;53;6° 01' N;75° 08' W;Humid Tropical Forest;Colombia;Dasyprocta fuliginosa;Plant;Flagged line;;x;x;;;;2015;Franco-Quimbay et al., 2015;"Franco-Quimbay, July; Rojas-Robles, Rosario 2015 Frugivoria Y Dispersion De Semillas De La Palma Oenocarpus Bataua En Dos Regiones Con Diferente Estado De Conservacion Actualidades Biologicas"
Arecaceae;Oenocarpus;Oenocarpus bataua;Accepted;Arecaceae;Oenocarpus;bataua;Oenocarpus bataua;;35;21,3;10,9;;36;;8,9;;;26;;Yes;3,39;53;6° 51' N;75° 08' W;Humid Tropical Forest;Colombia;Dasyprocta punctata;Plant;Flagged line;;x;x;;;;2015;Franco-Quimbay et al., 2015;"Franco-Quimbay, July; Rojas-Robles, Rosario 2015 Frugivoria Y Dispersion De Semillas De La Palma Oenocarpus Bataua En Dos Regiones Con Diferente Estado De Conservacion Actualidades Biologicas"
Arecaceae;Oenocarpus;Oenocarpus bataua;Accepted;Arecaceae;Oenocarpus;bataua;Oenocarpus bataua;;35;21;11;;36;;8,9;;;26;;Yes;3,1;53;6° 45' N;75° 06' W;Humid Tropical Forest;Colombia;Dasyprocta punctata;Plant;Flagged line;10 meses;x;x;x;;x;2012;Rojas-Robles et al., 2012;"Rojas-Robles, R.; Gary Stiles, F.; Muñoz-Saba, Y. 2012. Frugivoría y dispersión de semillas de la palma Oenocarpus bataua (Arecaceae) en un bosque de los Andes colombianos. Revista de Biologia Tropical 60(4), pp. 1445-1461."
Arecaceae;Mauritia;Mauritia flexuosa;Accepted;Arecaceae;Mauritia;flexuosa;Mauritia flexuosa;Drupe;57,5;57,5;32,5;1;35;25;23,8;;;30;45;Yes;;;3° 56' N;69° 53' W;Amazon;Colombia;Dasyprocta fuliginosa;Plant;Exclosure;530 dias;x;x;;;;2016;"Acevedo-Quintero; Zamora-Abrego, 2016";"Acevedo-Quintero, J.F.; Zamora-Abrego, J.G. 2016. Papel de los mamíferos en los procesos de dispersión y depredación de semillas de Mauritia flexuosa (Arecaceae) en la Amazonía colombiana. Revista de Biología Tropical 64(1), pp. 5-15."
Arecaceae;Mauritia;Mauritia flexuosa;Accepted;Arecaceae;Mauritia;flexuosa;Mauritia flexuosa;Drupe;70;57,5;32,5;1;35;25;23,8;;;30;45;Yes;;;8° 23' N;65° 22' W;;Venezuela;Dasyprocta leporina;Plant;;;x;x;x;;;2002;Calderon & Elena,2002;Ponce Calderon, Maria Elena 2002 Patrones De Caida De Frutos En Mauritia Flexuosa L.F. Y Fauna Involucrada En Los Procesos De Remocion De Semillas Acta Botanica Venezuelica
Arecaceae;Mauritia;Mauritia flexuosa;Accepted;Arecaceae;Mauritia;flexuosa;Mauritia flexuosa;Drupe;57,5;57,5;32,5;1;35;25;23,8;;;30;45;Yes;;12,63;14° 55' S;64° 21' W;Amazon;Bolivia;Dasyprocta punctata;Rodents/Plant;Metal implants;;x;x (7,5%);;x;;2015;Mendieta-Aguilar et al., 2015;"Mendieta-Aguilar, G.; Pacheco, L.F.; Roldán, A.I. 2015. Dispersión de semillas de mauritia fexuosa (arecaceae) por frugívoros terrestres en Laguna azul, Beni, Bolivia. Acta Amazonica 45(1), pp. 45-56."
Arecaceae;Mauritia;Mauritia flexuosa;Accepted;Arecaceae;Mauritia;flexuosa;Mauritia flexuosa;Drupe;57,5;57,5;32,5;1;35;25;23,8;;;30;45;Yes;;;1° 06' S;75° 48' W;Amazon;Ecuador;Dasyprocta fuliginosa;Plant;;;x;x;;;;2016;Ojeda García (2016);Ojeda García, M. I. (2016). Dispersores primarios y secundarios de Oenocarpus bataua y Mauritia flexuosa en el bosque tropical Yasuní, Amazonía Ecuatoriana (Master's thesis, PUCE).
Fabaceae;Swartzia;Swartzia caribaea;Accepted;Leguminosae;Swartzia;caribaea;Swartzia caribaea;;;;;;34;25;11,13;;;15;;;;;15° 25' N;61° 20' W;;Dominica;Dasyprocta leporina;Agouti;Gaiola de exclusão (tirar efeito da cutia);;;;;;;2014;Taylor et al., 2014;"Taylor, B.; Ickes, K.; DeWalt, S.J. 2014. Seed removal by an introduced scatter-hoarder on a Caribbean island. Caribbean Journal of Science, 48(1):9-17."
Arecaceae;Astrocaryum;Astrocaryum aculeatum;Accepted;Arecaceae;Astrocaryum;aculeatum;Astrocaryum aculeatum;;35;18;;;30;15;14,9;;;15;12;Yes;;;02° 50' S;59° 59' W;Amazon;Brazil;Dasyprocta leporina;;;;;;;;;2011;Ferreira (2011);Ferreira, A. P. P. (2011). Composição da comunidade de palmeiras (arecaceae) e remoção de frutos de Attalea attaleoides (BARB. RODR.) WESS. BOER E Astrocaryum gynacanthum MART. em uma floresta de terra-firme na amazônia central.
Fabaceae;Mucuna;Mucuna urens;Accepted;Leguminosae;Mucuna;urens;Mucuna urens;;;;;;28;28;5,04;;;30;;;9,06;35,9;27° 42' S;48° 30' W;Atlantic Forest;Brazil;Dasyprocta azarae;Plant;Spool and line;;x;x (48%);x (36%);;;2012;Zimmermann et al., 2012;"Zimmermann, T.G.; Begnini, R.M.; Castellani, T.T.; Lopes, B.C.; Reis, A. 2012. Consumo e dispersão secundária de sementes de Mucuna urens (Fabaceae) em Floresta Atlântica no Sul do Brasil. Rodriguésia 63(4), pp. 1139-1145."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Accepted;Arecaceae;Astrocaryum;standleyanum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;;17;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest e semidecídua de vários estágios sucessionais;Panama;Dasyprocta punctata;Agouti;Captura/ Seed radiotrack;;x;x;;;;2008;Aliaga-Rossel et al., 2008;"Aliaga-Rossel, E.; Kays, R.W.; Fragoso, J.M.V. 2008. Home-range use by the Central American agouti (Dasyprocta punctata) on Barro Colorado Island, Panama. Journal of Tropical Ecology 24(4), pp. 367-374."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Accepted;Arecaceae;Astrocaryum;standleyanum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;;17;;Yes;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Mammals / Fragmentation;;;x;x;x;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Accepted;Arecaceae;Astrocaryum;standleyanum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;;17;;Yes;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;;;;x;x;;;;2015;Dittel et al., 2015;"Dittel, Jacob W.; Lambert, Thomas D.; Adler, Gregory H. 2015 Seed Dispersal by Rodents in A Lowland Forest in Central Panama Journal of Tropical Ecology"
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Accepted;Arecaceae;Astrocaryum;standleyanum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;;17;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Agouti;;1 ano 7 meses;x;x;;;;2013;Emsens et al., 2013;"Emsens, W.-J.; Suselbeek, L.; Hirsch, B.T.; Kays, R.; Winkelhagen, A.J.S.; Jansen, P.A. 2013. Effects of Food Availability on Space and Refuge Use by a Neotropical Scatterhoarding Rodent. Biotropica 45(1), pp. 88-93."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Accepted;Arecaceae;Astrocaryum;standleyanum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;;17;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Visual observation/Line;6 meses;x;x;;;x;1993;Forget, 1993;Forget, P.-M. 1993. Post-dispersal predation and scatterhoarding of Dipteryx panamensis (Papilionaceae) seeds by rodents in Panama. Oecologia 94(2), pp. 255-261.
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Accepted;Arecaceae;Astrocaryum;standleyanum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;;17;;Yes;7;19;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Agouti;Flagged line;;x;x;x;;;2009;Gálvez et al., 2009;"Gálvez, D.; Kranstauber, B.; Kays, R.W.; Jansen, P.A. 2009. Scatter hoarding by the Central American agouti: a test of optimal cache spacing theory. Animal Behaviour 78(6), pp. 1327-1333."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Accepted;Arecaceae;Astrocaryum;standleyanum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;;17;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant / Animals;;;;;;;;2015;Garzon-Lopes et al., 2015;"Garzon-Lopez, Carol X.; Ballesteros-Mejia, Liliana; Ordonez, Alejandro; Bohlman, Stephanie A.; Olff, Han; Jansen, Patrick A. 2015 Indirect Interactions Among Tropical Tree Species Through Shared Rodent Seed Predators: A Novel Mechanism of Tree Species Coexistence Ecology Letters"
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Accepted;Arecaceae;Astrocaryum;standleyanum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;;17;;Yes;;241;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Methodology/Agouti;Seed radiotrack;Anos 2006, 2009, 2010;x;x;x;x;;2012;Hirsch et al., 2012a;"Hirsch, B.T.; Kays, R.; Jansen, P.A. 2012a. A telemetric thread tag for tracking seed dispersal by scatter-hoarding rodents. Plant Ecology 213(6), pp. 933-943."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Accepted;Arecaceae;Astrocaryum;standleyanum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;;17;;Yes;55;280;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Agouti/Plant;Seed radiotrack;;x;x;x;x;;2012;Hirsch et al., 2012b;"Hirsch, B.T.; Kays, R.; Pereira, V.E.; Jansen, P.A. 2012. Directed seed dispersal towards areas with low conspecific tree density by a scatter-hoarding rodent. Ecology Letters 15(12), pp. 1423-1429."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Accepted;Arecaceae;Astrocaryum;standleyanum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;;17;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Agouti;Seed radiotrack;;;;x;;;2013;Hirsch et al., 2013;"Hirsch, B.T.; Kays, R.; Jansen, P.A. 2013. Evidence for cache surveillance by a scatter-hoarding rodent. Animal Behaviour 85(6), pp. 1511-1516."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Accepted;Arecaceae;Astrocaryum;standleyanum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;;17;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Agouti/Plant;;;x;x;x;;;2010;Jansen et al., 2010;"Jansen, P.A.; Elschot, K.; Verkerk, P.J.; Wright, S.J. 2010. Seed predation and defleshing in the agouti-dispersed palm Astrocaryum standleyanum. Journal of Tropical Ecology 26(5), pp. 473-480."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Accepted;Arecaceae;Astrocaryum;standleyanum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;;17;;Yes;54,9;280;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Agouti;Seed radiotrack;;x;x;x (88%);;;2012;Jansen et al., 2012;"Jansen, P.A.; Hirsch, B.T.; Emsens, W.-J.; Zamora-Gutierrez, V.; Wikelski, M.; Kays, R. 2012. Thieving rodents as substitute dispersers of megafaunal seeds. Proceedings of the National Academy of Sciences of the United States of America 109(31), pp. 12610-12615."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Accepted;Arecaceae;Astrocaryum;standleyanum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;;17;;Yes;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Dispersão geral do local;;;x;x;x;;;1970;Smythe, 1970;Smythe, N. 1970. Relationships between fruiting seasons and seed dispersal methods in a Neotropical Forest. The American Naturalist 104(935), pp. 25-35.
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Accepted;Arecaceae;Astrocaryum;standleyanum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;;17;;Yes;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Plant;;11 meses;x;x;x;x;;1989;Smythe, 1989;Smythe, N. 1989. Seed survival in the palm Astrocaryum standleyanum: evidence for dependence upon its seed dispersers. Biotropica 21(1), pp. 50-56.
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Accepted;Arecaceae;Astrocaryum;standleyanum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;;17;;Yes;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Hunt;;;x;x;;;;2000;Wright et al., 2000;"Wright, S.J.; Zeballos, H.; Domínguez, I.; Gallardo, M.M.; Moreno, M.C.; Ibáñez, R. 2000. Poachers alter mammal abundance, seed dispersal, and seed predation in a Neotropical Forest. Conservation Biology 14(1), pp. 227-239."
Arecaceae;Livistona;Livistona chinensis;Accepted;Arecaceae;Livistona;chinensis;Livistona chinensis;;30;28;;;16;10;1,14;;;35;;;;;23° 27' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Line / Visual observation;;x;x;x;;;2010;Galetti et al., 2010;"Galetti, M.; Donatti, C.I.; Steffler, C.; Genini, J.; Bovendorp, R.S.; Fleury, M. 2010. The role of seed mass on the caching decision by agoutis, Dasyprocta leporina (Rodentia: Agoutidae). Zoologia 27(3), pp. 472-476."
Arecaceae;Syagrus;Syagrus pseudococos;Accepted;Arecaceae;Syagrus;pseudococos;Syagrus pseudococos;Drupe;65;40;33,3;;15;15;19,09;;;15;;Yes;;;23° 27' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Line/Visual observation;;x;x;x;;;2010;Galetti et al., 2010;"Galetti, M.; Donatti, C.I.; Steffler, C.; Genini, J.; Bovendorp, R.S.; Fleury, M. 2010. The role of seed mass on the caching decision by agoutis, Dasyprocta leporina (Rodentia: Agoutidae). Zoologia 27(3), pp. 472-476."
Arecaceae;Syagrus;Syagrus pseudococos;Accepted;Arecaceae;Syagrus;pseudococos;Syagrus pseudococos;Drupe;65;40;33,3;;15;15;19,09;;;15;;Yes;;;23° 31' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;;;;x;x;;;;2009;Genin et al., 2009;"Genini, Julieta; Galetti, Mauro; Morellato, L. Patricia C. 2009 Fruiting Phenology of Palms and Trees in An Atlantic Rainforest Land-bridge Island Flora"
Annonaceae;Cymbopetalum ;Cymbopetalum baillonii;Accepted;Annonaceae;Cymbopetalum;baillonii;Cymbopetalum baillonii;;;;;;15;;0,33;;;25;;;;;18° 35' N;95° 04' W;Evergreen Lowland Rainforest;Mexico;Dasyprocta mexicana;;;;;;;;;1998;Sánchez-Cordeiro & Martinéz-Galhardo, 1998;SÁNCHEZ-CORDERO, V., & MARTÍNEZ-GALLARDO, R. (1998). Postdispersal fruit and seed removal by forest-dwelling rodents in a lowland rainforest in Mexico. Journal of Tropical Ecology, 14(2), 139-151. doi:10.1017/S0266467498000121
Arecaceae;Bactris;Bactris acanthocarpa;Accepted;Arecaceae;Bactris;acanthocarpa;Bactris acanthocarpa;;18;15;;;14;14;2;;;6;;No;4;5,3;8° 00' S;35° 00' W;Atlantic Forest;Brazil;Dasyprocta prymnolopha;Plant;Flagged line;2 anos;x;x;x;x;;2001;"Silva; Tabarelli, 2001";"Silva, M.G.; Tabarelli, M. 2001. Seed dispersal, plant recruitment and spatial distribution of Bactris acanthocarpa Martius (Arecaceae) in a remnant of Atlantic forest in northeast Brazil. Acta Oecologica 22(5-6), pp. 259-268."
Arecaceae;Bactris;Bactris setosa;Accepted;Arecaceae;Bactris;setosa;Bactris setosa;;17,5;12,5;2,7;1;14;7,2;1,4;;;6;;No;;;23° 31' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;;;;x;x;;;;2009;Genin et al., 2009;"Genini, Julieta; Galetti, Mauro; Morellato, L. Patricia C. 2009 Fruiting Phenology of Palms and Trees in An Atlantic Rainforest Land-bridge Island Flora"
Arecaceae;Attalea;Attalea humilis;Accepted;Arecaceae;Attalea;humilis;Attalea humilis;;65;60;;;;;51,4;;;;0;Yes;;;23° 31' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;;;;x;x;;;;2009;Genin et al., 2009;"Genini, Julieta; Galetti, Mauro; Morellato, L. Patricia C. 2009 Fruiting Phenology of Palms and Trees in An Atlantic Rainforest Land-bridge Island Flora"
Arecaceae;Attalea;Attalea geraensis;Accepted;Arecaceae;Attalea;geraensis;Attalea geraensis;;44;27;19,9;;;;19,9;;;;0;Yes;6,5;30;21° 33' S;47° 45' W;Cerrado;Brazil;Dasyprocta azarae;Plant;Spool and line;1 ano;x;x;x;;;2007;"Almeida; Galetti, 2007";"Almeida, L.B.; Galetti, M. 2007. Seed dispersal and spatial distribution of Attalea geraensis (Arecaceae) in two remnants of Cerrado in Southeastern Brazil. Acta Oecologica 32(2), pp. 180-187."
Arecaceae;Astrocaryum;Astrocaryum sciophilum;Accepted;Arecaceae;Astrocaryum;sciophilum;Astrocaryum sciophilum;;65;32,5;;;;;14,5;;;14;15;Yes;;;4° 02' N;52° 42' W;;French Guiana;Dasyprocta leporina;Plant;;;x;x;x;;;2003;Charles-Dominque et al., 2003;"Charles-Dominique, P.; Chave, J.; Dubois, M. A.; De Granville, J. J.; Riera, B.; Vezzoli, C. 2003 Colonization Front of the Understorey Palm Astrocaryum Sciophilum in A Pristine Rain Forest of French Guiana Global Ecology and Biogeography"
